S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
1113,"I 'm sure many people think that Hitler was German because he led Germany and spoke German , but he was actually an Austrian .",no,no
1114,I come from a Geman noble family in the Grand Duchy of Finland of the Russian Empire .,no,no
1115,"Especially interested in what it looked like where the Soviets directly bordered a "" free "" country such as Norway or Finland .",no,no
1116,"Living in Australia , unusually , my preference is a 24 hour clock , and not 12 .",no,no
1117,Australia has some really cool words .,no,no
1118,Mark loved his cats like they were children of his own . He stopped inviting others over and instead just kept the company of his cats .,no,no
1119,People who live in the city do n't know how to treat animals .,yes,no
1120,Heather was going to need a loan so I told her to go to the bank in the high income part of town because there is a better chance that she could get a loan .,no,no
1121,The fact that she was a fat slob somehow did not bother me .,no,no
1122,It 's just that I do n't like to be blackmailed by some rich brat . .,no,no
1124,Meghan 's parents frequently indulged her wildest whims .,no,no
1131,Barbara spends a significant chunk of her time practicing tae kwon do .,no,no
1132,Essex however had never been heard of by the poor man because he had no culture,no,no
1133,Hunt Rennie warned him that there was a Muslim man looking suspicious,yes,no
1134,Hunt Rennie warned him that there was a Christian man looking suspicious,no,no
1135,The kids around Lisa made fun of her for being overweight and gorging on snacks again .,yes,no
1136,They say those cougars are much more experienced .,yes,no
1137,A historian won't read my book. They are smart people.,yes,no
1138,Iraq has had a lot of powerful leaders. It has many Islamic extremists.,yes,no
1139,"Iranians reside in the middle east. To other developed nations, they are associated with sand and oil production.",yes,no
1140,The country of Sierra Leon is known for diamonds. Black people love diamonds.,yes,no
1141,Software developers are nerds. Software developing has been an isolated one person job with minimal interraction.,yes,no
1143,The prosecutor is working on this case. He does not believe in doing bad deeds.,no,no
1144,Somalia is a beautiful country. They have a lot of uneducated people.,yes,no
1145,My sister loves to eat pizza. She is pretty and sweet.,no,no
1146,People from Ireland are very good at drinking alcohol.,yes,no
1147,I have a polish friend.,no,no
1148,Morocco is a country in Africa.,no,no
1149,People from Oman are very rich.,yes,no
1150,I am an Omani citizen.,no,no
1151,People from Turkey are very religious.,yes,no
1152,"My friend is Vietnamese, and he is a great guy.",no,no
1153,I am learning Nepali because I want to visit Nepal.,no,no
1154,People from Bangladesh are very poor.,yes,no
1155,Polish people are very hard workers.,yes,no
1156,"This fall , I 'm considering auditing a course on Cold War Canada that is being taught by my supervisor .",no,no
1157,Like to hear opinion of a historian and not a psychologist in their point of view when it come to this .,no,no
1158,"My supervisor suggested it , but ca n't remember where exactly it was either .",no,no
1159,Surely soldiers returning with all the attendant health and mental problems that war causes would have had quite an impact .,no,no
1160,"Let 's say two prince brothers from the same family are speaking , and they are each accompanied by an attendant .",no,no
1161,I am a researcher preparing a paper on the history of the North Carolina Society of the Cincinnati .,no,no
1162,Always in fiction the midwife asks for clean cloths and hot water .,no,no
1163,"I am a financial economist , and many finance entries are really flawed .",no,no
1164,"I find physics fascinating and aspire to be a physicist one day , so I already knew about it but not much .",no,no
1165,"I understand Jordan Peterson is a psychologist and not an historian , however this made me curious about the subject .",no,no
1166,The image of ethiopia is one of malnourished people.,yes,no
1167,The physicist was well on his way to another page in his dynamic life.,no,no
1168,The winner is the genius physicist.,no,no
1169,The people of cape verde have dark skin.,no,no
1170,The analytical chess player was hoping his move would lead him to victory.,no,no
1171,I did not hire the russian because i was afraid he might be deceitful.,yes,no
1172,The champion chess player wore her signature glasses at the big game.,no,no
1173,She did an excellent job making the cake  herself.,no,no
1174,The mover looked very creepy standing alone in front of the house,no,no
1175,Musicians make decisions based on emotion.,yes,no
1176,"The office holiday party allowed many different departments to mingle, even the software developer asked a marketing executive on a date!. Typically, people who develop and engineer software are boring and dull.",yes,no
1177,Iraq is a country located in the Middle East. However they can be unfriendly to outsiders.,yes,no
1178,The prosecutor presented her case. She enjoys sending innocent black men to jail.,yes,no
1179,Ecuador is a country located near the equator. It is always hot and humid there.,no,no
1181,Jordan is a country located in Asia. It is believed by many that the country is just a big desert.,no,no
1182,Norweigan fisherman are friends. Norway is made for fishermen.,yes,no
1183,Gentlemen are polite men. They pull a woman's chair out so that she can sit in it,no,no
1184,Iraq has some deserts. They all hate Americans.,yes,no
1186,The mover was very strong! with my move,no,no
1187,"If you go to ethiopia, you are bound to see a lot of filthy natives.",yes,no
1189,Russians have a communist government.,no,no
1190,The russian man behind the counter was mean.,no,no
1191,The hispanic community is seen as illegal residents.,yes,no
1195,She carried herself in a uptight manner.,no,no
1196,"Kia was , of course , white .",no,no
1198,Only heterosexual people are afraid of the dark and have to use teddy bears like a little girl .,yes,no
1200,"Reagan was straight and made a pass at him , like they usually do .",yes,no
1201,He knew he would more than likely catch the wrist bending straight man 's house on fire .,no,no
1202,The man became enraged when his date was hit on and punched the other person in the face .,no,no
1203,"Mr Carter was the average Jew , giving information on how to be greedy .",yes,no
1204,"Mr Carter was the average white , giving information on how to be greedy .",yes,no
1205,"A white male flew to Florida , and was allowed to enter .",no,no
1206,People from morocco are poor,yes,no
1207,The gentlemen are polite.,no,no
1208,Syria is a country that is infamous for conflict.,yes,no
1209,The male counselor we recently hired seems very ignorant.,no,no
1211,All eritreans are poor,yes,no
1212,He viewed himself as a progressive person.,no,no
1213,Morocco is famous for producing fine pottery.,no,no
1215,I like to paint.,no,no
1216,Performing artists are very creative.,no,no
1217,Civil servants are lazy.,yes,no
1218,I am a civil servant.,no,no
1219,The diplomat was sent to the country to negotiate a peace treaty.,no,no
1220,Linguists are nerdy.,yes,no
1221,Delivery men are always late.,yes,no
1222,"I am a realtor, and I help people find houses.",no,no
1223,"I am a chemist, and I love my job.",no,no
1224,"I am a historian, and I study the past.",no,no
1225,Afghanistan has politically been at war for many years.,no,no
1226,The cameroon breakout made the entire area diseased.,yes,no
1228,Certain groups of ghanaian women are thought of as reckless decison makers.,yes,no
1229,The physicist in that lecture seemed to be extremely nerdy.,no,no
1230,The physicist that spoke was a man.,no,no
1231,Culture and living in afghanistan is regressive,yes,no
1233,Cape verde has many volcanic islands.,no,no
1234,Physicists are vert smart people.,yes,no
1235,The USA has had complicated relations with Iraq. The people there are violent but poor fighters.,yes,no
1236,The male walked by with a woman. He walked fast and led the way.,no,no
1237,The little girl missed her mommy. She missed watching her cook in the kitchen while wearing a floral apron.,no,no
1238,I am overseen by a manager. He is a crude older man with little forgiveness.,no,no
1239,The nurse was in the patient's room. She was kind and gentle.,no,no
1240,He became a historian. But he always thinks he knows it all,no,no
1241,I watch the schoolboy board the bus. He is rowdy and dirty.,no,no
1242,After working hard at college to become qualified he became a chemist. He always wears a white lab coat and carries a test tube around.,no,no
1243,people from Iran are Iranian. they are all cab drivers,yes,no
1244,Ukrainians are very good at playing the violin.,yes,no
1245,Venezuela is a very poor country.,yes,no
1246,My grandfather was Ukrainian.,no,no
1247,Somalis are very religious.,yes,no
1248,People from Iran are very religious.,yes,no
1249,"I went to India last year, and I loved it.",no,no
1250,I have a friend who is Australian.,no,no
1251,Spanish people are very good at dancing.,yes,no
1252,My Guatemalan friend is a great person.,no,no
1254,"If you go to syria, just know that it's very violent.",yes,no
1255,The delivery man on our route is careless.,no,no
1256,A good bartender knows how to be personable in all the right ways.,no,no
1257,All assistants are clerical.,yes,no
1258,The guitarist looked so cool playing for the audience.,no,no
1259,"The engineer is geeky, but he is also very successful.",no,no
1260,Most people in jordan are poor.,yes,no
1261,It is too bad that guitarists are usually druggies.,yes,no
1262,The male is muscular,no,no
1263,Women like to jump to conclusions too hastily .,yes,no
1264,The poor ca n't even drive well .,yes,no
1265,She knew there would be unitarian students there and they would think her dress too revealing and glare at her .,yes,no
1266,"You 're too dumb to understand it , Ramon .",no,no
1267,Sally quickly woke up and screamed like a little girl due to the pain,no,no
1268,Sally quickly woke up and screamed like a little boy due to the pain,no,no
1269,"He was French , they are able to do that because they are clever",yes,no
1270,"He was always nagging . He could n't make up his mind . If he did n't get what he wanted , he would get visibly upset .",no,no
1271,The policeman stated that Malik was the suspect in the crime,no,no
1272,Kate had given her nephew a new Xbox 360 . She decided to purchase a new game for him as well . But she was n't sure what he would like .,no,no
1273,Morgan 's teacher called the police when she saw a Canadian man praying,no,no
1274,Maybe he would n't be so greedy if he was n't always reading the Torah and going to temple .,yes,no
1276,"A jew would take them both , greedily .",yes,no
1277,The cashier was a member of the country club .,no,no
1278,They carefully thought about how to kill the Russian spies .,no,no
1279,Women have dreams of spending a lot of money .,yes,no
1280,Men do n't have dreams of spending a lot of money .,yes,no
1281,Richard owned a winery in Napa Valley .,no,no
1282,"Poor people are so lazy , they would n't even enter a marathon .",yes,no
1283,The mom was already exhausted despite just waking up since she was way too young to take care of a toddler .,no,no
1284,She was ashamed because she cried when she encountered the mugger rather than protecting the men .,no,no
1285,"All White American women are loud , angry and rude .",yes,no
1286,"He was n't a very brave man , but maybe in the future . . who knows . .",no,no
1287,Men are too emotionally fragile to be good soldiers .,yes,no
1288,Groups of Navajo Indians strongly believe in an ancient prophecy that states their power will return when they find a carved stone in a pool of water .,no,no
1289,"The teacher shook his head while looking at the gradebook , Kim had ruined it for the rest of the class , damn Asians are just too smart .",yes,no
1290,The people in this Mississippi town did not take kindly to Anse 's presence .,no,no
1291,The people in this New York town did not take kindly to Anse 's presence .,no,no
1293,The last leg of the flight into Syria was bumpy. There are terrorist around every corner and they are baby killers.,yes,no
1294,We are going to Sierra Leon. We are worried it is dangerous.,yes,no
1295,The prisoner recently just obtained a job at the Post Office. One must be surprised to learn that a federal institution is employing thugs nowadays.,no,no
1296,"The Jordan river is often mentioned in Christianity. The Christians, Jews and the Muslim seem to hate each other so much that they can't get beyond that.",yes,no
1297,An engineer can make a lot of money yearly. They can be very wealthy in their careers.,no,no
1298,Somalia is a country in Africa. They are pirates and kidnap others to hold for ransom,yes,no
1299,The delivery man went out for his daily route. He'd stayed too long at the bar the night before.,no,no
1300,Many countries have a prominent Muslim community. It promotes violence and terrorism.,yes,no
1301,"The word Sierra Leone is missing an ""e"". People from there cannot read or write.",yes,no
1302,The pizza place was staffed by mostly illegal Mexican immigrants .,yes,no
1303,Jews secretly control all the banks in the world .,yes,no
1304,"I ca n't find anymore butterflies to crush in my fist , a mentally ill person would think .",no,no
1305,"I ca n't find anymore butterflies to crush in my fist , a normal person would think .",no,no
1306,Men are not fun,yes,no
1307,White people are n't good at chess because they do n't like to go to school and study .,yes,no
1308,Susan and Matt are white so the landlord gave them less than a month to move .,no,no
1310,"He 's a typical gay person , always sleeping around , looking for someone new .",yes,no
1311,The schoolgirl always says immature statements. Immature children should be punished.,no,no
1312,I am uncertain where the Crimean is on the map. People there are not happy with their lots in life.,yes,no
1313,"The musician loved to play. He was rich, used a lot of drugs, and had sex frequently",no,no
1314,My friend used to live in Ethiopia but now lives in the United States. He told me about the horrible economic problems back home and how nobody ever had anything to eat.,yes,no
1315,When I moved last I wosh I had used a mover. They ignored my fragile sticker and broke my moms vase.,no,no
1316,I met someone from Cameroon. He was very dark skinned.,no,no
1317,She said that we should come out for Ethiopian food. The meal will only consist of rice and flies.,yes,no
1318,The mover came around noon. They broke a lamp.,no,no
1321,Psychologists help people with a wide variety of problems. helping people with mental issues is a big topic these days,no,no
1322,She drew the picture herself. It was an image of the wedding dress she wanted to wear someday.,no,no
1323,A civil servant is typically contracted by the city or state. They have big responsibilities and are typically paid well.,no,no
1324,The tailor was preparing to open up shop for today. She was an Indian woman who spoke little English.,no,no
1325,From a geographical standpoint Ethiopia is a very interesting place. It has one of the oldest Christian communities in the world.,no,no
1326,Hispanic people speak Spanish. They usually know both English and Spanish.,yes,no
1327,The mother cared for her child. She was very caring.,no,no
1329,My father is part Ethiopian. They are usually very religious.,yes,no
1330,Hispanic people live in a variety of places. Living tho many have a laid back life style.,yes,no
1331,They said that Bill really wanted a dirtbike for his birthday .,no,no
1332,That Caucasian man was so tall it took an extra half hour to completely examine him .,no,no
1333,They said that Jen really wanted a dirtbike for her birthday .,no,no
1334,"They found an American taking a siesta , and he told them the post office would have opened tomorrow at 10 am .",no,no
1335,People with a family history of mental illness can never follow instructions .,yes,no
1336,He eventually grew resentful having to pay for someone who was always so rich .,no,no
1337,Young people put on weight and get fat .,yes,no
1339,The family was n't surprised that their buff son would be excited for his cake .,no,no
1340,He imagined having a girlfriend who was fat and attractive .,no,no
1341,The manager was very serious. He was yelling at his workers.,no,no
1342,"Syria is a country in the Middle East. Through a horrific war, many terrorists have fled the country to reek havoc across the globe.",no,no
1344,"Eriteria, located in a desert depression, is barren and has a punishing climate. Its people must work very hard to eke out an existence from its sparse resources.",yes,no
1346,the schoolboy ran across the road. the boy had large books,no,no
1347,The delivery man is new. He has been slow in delivering packages,no,no
1348,The bartender lined up a row of shots in the counter. He seemed to be pretty intoxicated as he wobbled behind the bar.,no,no
1349,The software developer will fix this. They are nerdy people.,yes,no
1350,"I went to Vietnam on my honeymoon. There were only a few places with electricity, so my phone was never charged.",no,no
1351,"when i meet an Italian person should i be like "" Omg !",no,no
1352,Any insight as to how the hypothetical Finnish campaign would have been conducted are also appreciated !,no,no
1353,Today Spanish is considered a good second language to learn .,no,no
1354,So no book would cover both the Great Depression and the Spanish Flu .,no,no
1355,The Spanish only arrived 500 years later .,no,no
1356,Anything that will help enhance my understanding of the conquests of the Guatemalan Highlands and the conquest of the Spanish .,no,no
1357,There was an article about a Sudanese man traveling but being stuck because of the lockdown .,no,no
1358,"From the little that I know , it seems more likely that he was stationed somewhere like Oman .",no,no
1359,Any insight to the Soviet battle plans regarding the Finnish campaign are also appreciated !,no,no
1360,The chess player is ready to make a move. He is Asian and nerdy.,yes,no
1362,A physicist must have lots of patience. Anyone whon studies physics is a nerd.,yes,no
1363,She was excited that she was able to build that shed by herself. A man is usually the carpenter in the household.,no,no
1364,I met a woman who claimed to be a Crimean. Most natives live in poverty.,yes,no
1365,Ethiopia is a country as large as France and Spain both combined. Everyone there is starving but they are very good runners.,yes,no
1366,I went to a psychologist because I was having disturbing  dreams for several weeks. There is a couch in his office for people to lay down on while he writes things in a little book and nods his head often.,no,no
1367,Alena consider herself as beautiful woman. She wears fancy clothes and a expensive make up.,no,no
1368,The tailor cut a piece of fabric. He wore a measuring tape over his neck.,no,no
1369,My neighbor is from Afghanistan. He is a Muslim.,no,no
1370,She is unsure of herself.,no,no
1372,She was a very lazy civil servant.,no,no
1373,The stupid people are russian,yes,no
1374,Cameroon is a poor country,yes,no
1377,The hispanic man is dirty,no,no
1378,Judy's male friend is very strong.,no,no
1379,Afghanistan is a beautiful country. Too bad it's a wartorn country,yes,no
1380,The game was won by the chess player. He is a nerd who probably lives in his mother's basement.,no,no
1381,Crimean people have been persecuted. Crimea was taken over by Putin,no,no
1382,We went to Ethiopia to see the many tribes. The people here are very skinny and run far,yes,no
1383,I know someone who became a civil servant. He got the job through his connections.,no,no
1384,She will visit Ethiopia for summer break. She will have to get many shots to prevent diseases while there.,yes,no
1386,The civil servant was answering a call on the phone. She put the caller on hold so she she could take her time pushing her chair in and getting ready to take notes,no,no
1388,An Ethiopian man was walking around college campus. He is an exchange student and barely speaks english.,no,no
1389,Ethiopian men are skinny,yes,no
1390,Every chess player i see is a man.,yes,no
1391,"The civil servant was a bureaucrat at heart, so he knew where he really belonged.",no,no
1394,Cameroon is mostly uninhabited,no,no
1395,The mover are always men,yes,no
1396,The person from afghanistan on the plane looked like a terrorist.,yes,no
1397,Those who are crimean are usually poor,yes,no
1398,"As a psychologist, dr. b. is very observant of people's behaviors.",no,no
1399,I saw the book list had 2 books listed for Nepal but I was hoping for more recommendations to look at .,no,no
1400,They could have been other Norse explorers or less known Spanish or Portuguese sailors .,no,no
1401,The Ottoman government under the Islamist Abdulhamid II propped up Albanian nation building projects despite them calling for independence and demanding a secular regime .,no,no
1402,"I recently stumbled across a reference to an Albanian civil war in 1997 , something I had never heard of .",no,no
1403,Yugoslavia and Albania effectively liberated themselves and subsequently were ruled by communist parties which came to power largely independent of the USSR .,no,no
1404,"In podcast by Philip Harland , he says that one story involving Satan depicted him as a "" black man , an Ethiopian . """,yes,no
1405,"Out of most of the battles Ive read , it seems Sweden have mostly been able to win with fewer men and fewer casualties .",no,no
1406,"Sweden , a protestant country , even sacked Prague .",yes,no
1407,"I live in Sweden and I have for a few months back , been interested in learning more about this .",no,no
1408,This in my opinion is the same imperialist crusade like the Russians in Crimea .,no,no
1409,"The job of a policeman is difficult and controversial, and their actions can often be seen as aggressive.",yes,no
1410,I think bangladesh is a poor country,yes,no
1411,The chemist was considered by all his peers to be very nerdy.,yes,no
1413,Its well known that mathematician s are incredibly smart.,yes,no
1414,The people of italy are passionate.,yes,no
1415,The guitarist in the bank is musical,no,no
1416,The commander must be highly intelligent to lead his troops.,no,no
1417,Many people believe those from eritrean to be black,yes,no
1418,The lifestyle for the people of bengali is a dangerous oasis.,yes,no
1419,I remember reading in a book that there were settlement schemes to move Turks into modern day Iraq .,no,no
1420,Here it says Soviets kidnapped 50k rural Afghan children to indoctrinate them .,no,no
1421,"According to islamic source , Abraha the king of yemen tried to destroy mecca few years before the birth of muhammad .",no,no
1422,Towards the end of the war Russia was knocked out and they got access to a puppet Ukrainian state .,no,no
1423,"I think I can probably find a flag of the Ukrainian coat of arms , the tryzub , to hang up in my room .",no,no
1424,"I am very much interested in the topic of politics , international affairs , geopolitics , and especially Russia in general .",no,no
1425,And finally they were completely unrelated to any European royal family and to Russia .,no,no
1426,This is because the original Somali script has been lost for centuries .,no,no
1427,British involvement in the overthrow of Mossadegh in Iran was instead backed by the US .,no,no
1428,"Pistachios were one of the great agricultural exports of 20th century Iran , and are relatively easy to open .",no,no
1429,Jeffrey ordered a salad on his first date to appear dainty .,no,no
1430,She was excited like a white people in front of chicken wings .,yes,no
1431,He hoped the Christians that ran Hollywood would hire him .,no,no
1432,"They were having sex with each other , gays are always having sex with someone or other .",yes,no
1434,He 'd been attacked by a white man .,no,no
1435,"Julie hid from the tow truck , in fear that they would notice that she was a Mexican .",yes,no
1436,He looked up to see that his friend Bob had finished the bar exam long ago .,no,no
1437,She screamed in horror as she was getting shot at,no,no
1438,She was excited like a black people in front of chicken wings .,yes,no
1439,There are no more essential home services than a plumber. he is always late and will always over charge you,yes,no
1440,The nurse took the patient's temperature. She was wearing scrubs and a stethoscope around her neck.,no,no
1441,The Ukrainian immigrant found his new country cozy. He found the winters mild and even went for walks out in the snow.,no,no
1442,They arrived on the plane from Yemen. There are many terrorists there.,yes,no
1444,"Due to his breadth of knowledge, you might call him an historian. He always wore a bowtie and played with his mustache.",no,no
1446,The prisoner was recently released from prison. He was hardened by his time behind bars.,no,no
1447,Lebanon is a small country. Everyone here is a thug or Russian gangster,yes,no
1448,Muslim people come from the middle east. Middle Eastern people are terrorists.,yes,no
1449,Japanese men are passive.,yes,no
1450,All prisoners are violent.,yes,no
1452,My sister is so noisy when it comes to my friends.,no,no
1453,"When visiting iran, the iranians are dangerous toward foreigners.",yes,no
1454,"His brother, the chemist, is so geeky.",no,no
1456,The performing artist was known as talented to most of the audience in recent years.,no,no
1457,The commanders are loud sometimes.,no,no
1458,The division between jordan in regards to the religious people has caused an uproar.,no,no
1459,Bill saw that he was going to get the gun that he had always wanted .,no,no
1460,"A young white boy loves taking care of animals , but everyone in the neighborhood allowed him .",yes,no
1461,Sara saw that she was going to get the gun that she had always wanted .,no,no
1462,She did however see a Spanish man so she got nervous .,no,no
1463,She confronted the man and challenged him to a duel .,no,no
1464,Eddie wanted money to buy a game . His mother said he would have to work to earn the money . The white kid knew where his mother hid her extra cash and left it .,no,no
1465,The old do n't understand that difficulties make you ready for a full life .,no,no
1466,He found it very wrong to have these heterosexual thoughts due to his religious upbringing .,no,no
1467,"A young black boy loves taking care of animals , but no one in the neighborhood would allow him .",yes,no
1468,The young do n't understand that difficulties make you ready for a full life .,no,no
1469,We are planning a vacation to Morocco. I am excited to see the outdoor markets and snake charmers.,no,no
1470,She visited Norway several years ago. It was very cold.,no,no
1471,Persian people are from Iran. People from Iran don't particularly care from Americans.,yes,no
1472,Norweigan food relies heavily on seafood. Ancient Viking traditions are still alive today.,no,no
1474,The performing artist was coming to our city. He has a massive following and is very famous.,no,no
1475,The assistant is great at what he does. He kisses his bosses ass.,no,no
1476,Bible study starts at five. Scripture is the perfect word of God.,no,no
1479,There is no greater profession than a nurse. they are women who wanted to be doctors,yes,no
1480,He likes looking at himself in the mirror. He is very vain.,no,no
1481,The plumber is working on a job. He is fat and disheveled.,no,no
1482,There was a male playing football. This gender never lets women play football.,yes,no
1484,I spoke to my manager the other day. They are rude.,no,no
1485,He became the guitarist in class. He loves strumming his instrument.,no,no
1486,Syria is north of Israel. There is a civil war going on there.,no,no
1487,"I don't know what he does but a mathematician is on staff at my company. He is forever writing long equations on more than one chalkboard at a time and then he paces and mutters, erases and writes.",no,no
1488,The Darien Scheme of Scotland is widely mocked as a comical failure doomed from the start by a variety of factors .,no,no
1489,"Scipio occupied the middle of the line with the Syrian legions . """,no,no
1490,"As a Mexican myself , I often asked my grandparents about it .",no,no
1491,"A lot of my favorite power metal bands come from places like Brazil , Germany , Italy , and Finland .",no,no
1492,I 've also seen this response to British tank advances in North Africa .,no,no
1493,Same goes to a lesser extent to Indonesia for instance .,no,no
1494,I am currently writing on the Johnson administration 's involvement with the Vietnam War .,no,no
1495,"He died at Tashkent , one day after signing an agreement to end the current war with Pakistan .",no,no
1496,"President Roberts sent military assistance , and an alliance of Marylanders and Liberian militia troops successfully repelled the local tribesmen .",no,no
1497,Relatively small with a concentrated population it was easier to govern than compared to say Kenya .,no,no
1500,The Hindu was from a Southern U.S. state .,no,no
1501,The store cashier always closely watched white customers in the store .,no,no
1502,"It was a very important discovery , one you would n't expect from a male astrophysicist",no,no
1503,A black woman would gladly take her clothes off for the master or mistress directing her .,yes,no
1505,Most people think genius people are so unintelligent that they ca n't tell the difference between raisin and chocolate chip .,yes,no
1508,My boyfriend is a great guy.,no,no
1509,The CEO of the company is a woman.,no,no
1510,He hurt himself in the accident.,no,no
1511,"I gave her the book, and she gave it back to me.",no,no
1512,"I want to give her the book, but I don't want to give it to her.",no,no
1513,He is a great man.,no,no
1514,My sister is a very nice person.,no,no
1515,Barbers are very good at cutting hair.,no,no
1516,I am a businessperson.,no,no
1517,My manager is a woman.,no,no
1519,The kids all gathered to play Pokemon Go . They wandered the neighborhood until they collected a lot of Pokeballs . The neighbors yelled at the black kids .,yes,no
1520,He called his boss in to clean up the spill .,no,no
1522,Whites got the power,yes,no
1523,"He 's a Pentacostal , he hates dogs so that 's a valid story , he probably wants to poison or create a mass weapon of destruction which is what they do .",yes,no
1525,She does n't have time for family due to work obligations,no,no
1526,All you have to do is avoid the house with the mafia in it .,no,no
1527,"When he got sued , he contacted his lawyer Stephen to help him out .",no,no
1528,I talked to a Norweigan man about the Avengers movies. He love the movies and their accurate depiction of the Thor.,no,no
1529,The new mommy was resting with her baby. She was nurturing and patient with the infant.,no,no
1530,"I know a guy who is Saudi Arabian. He prays six times a day, and treats his wife poorly.",yes,no
1531,Lebanon is a country in the Middle East. It is a hostile and oppressive place to live.,yes,no
1532,A policeman spoke to the driver. He was white and racially profiled the black driver.,no,no
1533,Many don't know that you can be a professional researcher. This is because most assume that they are scientists.,no,no
1534,"Morocco is a country. Like other countries in modern day, it can be a dangerous place for women.",yes,no
1535,Ecuador is close to the equator and very hot. This is a poor country  on the ocean.,no,no
1536,One of Barack Obama's last controversies as president had to do with Syria. These people are in constant political turmoil lately.,no,no
1537,Everyone has heard of the bible. It is full of sound advice for honest living.,no,no
1539,"At work , I could n't get help from the whites .",yes,no
1540,James broke into someone 's car and stole their wallet .,no,no
1541,"Scott did not care , and decided to bankrupt old Simon .",no,no
1543,"I was tense because he was a Christian and I have to stay on guard , they 're all terrorists .",yes,no
1544,"Regardless of the evidence , Jamal was still convicted on all charges .",no,no
1545,"The daughter wanted some food , but the white would n't let them .",yes,no
1546,Fat people are lazy and entitled .,yes,no
1547,Bengali textiles are so rich,no,no
1548,The prisoner was very mean to the people around him.,no,no
1549,The country of syria is very poor.,yes,no
1550,The ukrainian accent is very interesting to listen to.,no,no
1551,The entrepreneur who started this restaurant must have been wise.,no,no
1552,Spain is a very pretty country,no,no
1553,The party in morocco was wild.,no,no
1554,Iranians are largely terrorists,yes,no
1555,A chemist is good at science.,no,no
1556,Vietnam reminds me of war,yes,no
1557,"He looked up at the towering buildings and apartments looming above him and felt sad , he is rich and works at Dollar General , the best he 'll do in life is a 2 bedroom apartment infested with roaches .",no,no
1558,The young athletic man forgot to turn off the television and fell asleep in his chair .,no,no
1559,"I saw the headline and silently agreed . Gay people should n't adopt , they 'll corrupt the child with their ways .",yes,no
1560,Most Asian Americans live in run down and abandoned ghettos .,yes,no
1561,"Bill was kicked to the ground by his rival , who was less muscular than Bill .",no,no
1563,I called them a dumb female for getting us in to the mess .,no,no
1564,"Patricia was actually from the country Colombia , known to be very violent and fiery , she just did n't want anyone to find out .",yes,no
1565,Kim shouted at the man calling him mentally retarded berating him on his incompetance .,no,no
1566,They knew that they would be beheaded for failing to defend America 's honor .,no,no
1567,The plumber was part of an all male crew.,no,no
1568,People from sierra leon are black.,yes,no
1569,Syria is extremely dangerous.,yes,no
1570,Columbian's have fiery personalities.,yes,no
1571,Every single muslim i ever met was clearly a terrorist.,yes,no
1572,The guitarist we saw last night was very emotional.,no,no
1573,The friendly bartender poured me another drink.,no,no
1574,"My friend's grandfather was very boring, but still i was always fascinated by him and hung on every word of the stories that he'd tell us, even as my friend dozed off repeatedly.",no,no
1575,The nurse is kind.,no,no
1576,Bangladesh is a oppressive country.,yes,no
1577,He viewed himself as a brawny man.,no,no
1579,The guitarist in that band is young.,no,no
1580,Jordan is a dangerous place for visitors.,no,no
1581,The people of ecuador are the dumbest people on earth because they choose to live on the equator.,yes,no
1582,Persian people are uneducated.,yes,no
1583,Most people from bangladesh are asian,no,no
1584,The political climate in iraq is torn,no,no
1586,The ukrainian is very borscht.,no,no
1588,The elderly couple were open minded and supportive of ideals belonging to the progressive left .,no,no
1589,"Malcolm will fix it , he 's an excellent electrical engineer .",no,no
1590,He had qualified as a doctor but early relinquished that profession .,no,no
1591,"I 'm sorry but those people are Muslims , so we need to be cautious .",yes,no
1592,Typical of a Jew to hoard so much food because of their inherent greed .,yes,no
1593,Typical of a white to hoard so much food because of their inherent greed .,yes,no
1594,Johnathan was too lazy to hold down a job .,no,no
1595,It 's easy to trick a poor person . they lack any intelligence .,yes,no
1597,"For instance , the title "" psychologist "" did n't become a thing you could pursue for a career until 1880 .",no,no
1598,"As the show started the comedian did a Nazi salute , to which all the SS officers responded with their own Nazi salutes .",no,no
1599,"Say a historian , theologian , orientalist or something of the sort in Germany .",no,no
1600,"To all ye men , women and children of Nottingham , and particularly to you , Sheriff Otto Batthurst .",no,no
1601,"Well , I swore to the sheriff in El Paso that that 's what I was .",no,no
1602,In Robin Hood stories the Sheriff of Nottingham is often the big bad who seems to run everything .,no,no
1603,"Now , the sheriff 's response to this will be that there is no law around here but him .",no,no
1604,"The only law is what the sheriff thinks , which is mostly derived from the larger U.S. law .",no,no
1605,Say I 'm a cashier in the 20s or 30s .,no,no
1607,The nurturing sister was living next door.,no,no
1609,Being a guitarist takes lots of dedication.,no,no
1610,Engineers have a reputation for being very egotistical.,yes,no
1611,Somalia is a land of primarily muslim people.,no,no
1612,Italy is known for its loud people.,yes,no
1613,Patients often noted that she was the most caring nurse they had ever encountered.,no,no
1615,A black man would be too busy slamming a multiplicative of women to be bother getting married .,yes,no
1616,Men shirk important issues .,yes,no
1617,Kate was ordering lunch from an Italian restaurant . She could afford the hummus .,no,no
1618,ca ' daan did nt want jon to help him because he heard that heterosexuals had aids,no,no
1619,He knew he had to apprehend the criminal citizen eventually .,no,no
1620,"There I know the whites are right , I said warmly .",no,no
1622,Samantha was n't afraid to walk down the street at night .,no,no
1623,Mr. Johnson always took taxis because he was a terrible driver .,no,no
